_id,NAME,COUNTRY,DAY,MONTH,YEAR,ROUTE,NAME OF THE TEAM,LEADER
603,APA SHERPA,NEPAL,15,5,1995,S.E. RIDGE,"""",""""
1213,PASANG NURBU SHERPA,NEPAL,16,5,2004,S. E RIDGE,"""",""""
1455,ERIC SAMUEL GARZA,USA,30,5,2005,S E RIDGE,"EVEREST LHOTSE
EXPD. 2005",
4035,MR.TEMBA BHOTE,NEPAL,21,5,2013,,"""",""""
5141,MR. DAWA SHERPA,NEPAL,22,5,2017,,"""",""""
3380,MR. PASANG KAMI SHERPA,NEPAL,11,5,2011,,"""",""""
4591,"MR. MINGMA THINDU
SHERPA",NEPAL,11,5,2016,,"""",""""
319,ANG DAWA SHERPA,NEPAL,6,10,1990,SOUTHCOL,"""",""""
275,TOICHIRO MITANO,JAPAN,13,10,1989,S.E. RIDGE,"KATHMANDU CLUB EXP.
JAPAN",Ken Kanazawa
4670,MR. LYSLE WARREN TURNER,SOUTH AFRICA,19,5,2016,,"""",""""
1176,MINGMA TSHIRI SHEROA,NEPAL,22,5,2003,S E RIDGE,"""",""""
3064,MR. KENTON EDWARD COOL,UK,6,5,2011,,"H.G. EVEREST
EXPEDITION, 2011","Mr. Kenton
Edward Cool"
3908,MR. ANG DORCHI SHERPA,NEPAL,19,5,2013,,"""",""""
1521,MYOUNG HO LEE,SOUTH KOREA,19,5,2006,"SOUTH EAST
RIDGE",,
4180,MR.KHIMI RAM,INDIA,19,5,2013,,"""",""""
5179,DAWA TASHI SHERPA,NEPAL,16,5,2017,,"""",""""
296,PETER G. ATHANS,USA,10,5,1990,SOUTHCOL,"""",""""
3397,MR. MINGMA DORJI SHERPA,NEPAL,19,5,2011,,"""",""""
2514,"MR.DOUGLAS HUGH RICHARD
WAYMARK",UK,19,5,2009,NORMAL,"""",""""
299,ANG ZAMBU SHERPA,NEPAL,10,5,1990,SOUTHCOL,"""",""""
69,MACK JOSEF,GERMANY,14,10,1978,SOUTHCOL,"FRANCO GERMAN JOINT
EXPD.","Dr. Karl Herlig
Koffer"
1943,MR. ALAN A. MALLORY,CANADA,26,5,2008,S.E.RIDGE,"""",""""
2389,MR.PETER LOUIS WHITTAKER,USA,19,5,2009,NORMAL,"RAINIER
MOUNTAINEERING, INC.
2009 MT.EVEREST EXP.","Peter Louis
Whittaker"
4413,MR.THUNDU SHERPA,NEPAL,19,5,2013,,"""",""""
151,DANREIF,USA,9,10,1983,EAST FACE,"""",""""
757,GYALZEN SHERPA,NEPAL,5,5,1999,S.E. RIDGE,"""",""""
4577,"MR. PIETER JOHAN VAN DEN
BROEKE",NETHERLANDS,20,5,2016,,"""",""""
2788,MR. SANGE DORJEE SHERPA,NEPAL,22,5,2010,,"""",""""
2147,MR. OLEKSIY LYKOV,UKRAINE,27,5,2088,NORMAL,"""",""""
3709,MR. TAJ PAL SINGH,INDIA,26,5,2012,,"""",""""
2313,MR. YOUNGJO SON,SOUTH KOREA,22,5,2008,NORMAL,"""",""""
377,DAWA TASHI SHERPA,NEPAL,12,5,1992,S.E. RIDGE,"""",""""
2733,MR. BASANTA KUMAR SINGHAROY,INDIA,17,5,2010,,"""",""""
860,JUAN JOSE FGARRA LORENZO,SPAIN,22,5,2000,S.E. RIDGE,"""",""""
3205,MR. NEAL JAY BEIDLEMAN,USA,20,5,2011,,"""",""""
2481,MR. KIM JONG HO,SOUTH KOREA,19,5,2009,NORMAL,"""",""""
379,ANDREW VOLKOV,USA,12,5,1992,S.E. RIDGE,"""",""""
4694,MR. KALDEN PHURA SHERPA,NEPAL,19,5,2016,,"""",""""
5260,SUSHIL SHERMA,NEPAL,20,5,2017,,"ARUN NEPALI MT.
EVEREST EXPEDITION
2017, SPRING",Sushil Sherma
2562,MR.MIGMA SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
2093,MR. CHHULDIM DORGE SHERPA,NEPAL,24,5,2008,NORMAL,"""",""""
2821,MR. DAWA TENZING SHERPA,NEPAL,22,5,2010,,"""",""""
842,RAM KRISHNA SHRESTHA,NEPAL,21,5,2000,S.E. RIDGE,"EVEREST EXPEDITION
2000 AD NEW RECORD","Bhakta Bahadur
Thakuri"
2019,MR. KURT ALAN SEDBERG,USA,22,5,2008,NORMAL,"""",""""
176,ODD ELIASSEN,UK,21,4,1985,"S.E.
RIDGE","""",""""
1262,LUIS GUILLERMO BENITEZ,USA,17,5,2004,"SOUTH EAST
RIDGE","""",""""
928,LHAKPA TEMBA SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
2586,MR.RINJEE SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
46,DARPHUNTSO,CHINA,27,5,1975,NORTHCOL,"""",""""
1097,DA JANGBU SHERPA,NEPAL,26,5,2003,"SOUTH EAST
RIDGE","""",""""
4374,MR.PEMBA SHERPA,NEPAL,17,5,2013,,"""",""""
2101,MR. PEMBA CHHOTI SHERPA,NEPAL,24,5,2008,NORMAL,"""",""""
3835,"MR. WARNER ROJAS
CHINCHILLA",COSTA RICA,25,5,2012,,"""",""""
2802,MR. HAK KYU KIM,SOUTH KOREA,17,5,2010,,"INTERNATIONAL EVEREST
EXPEDITION 2010","Mr. Wang
Young Yoon"
4348,MR. PAUL NIEL,AUSTRIA,18,5,2013,,"""",""""
2928,MR. JUSTIN REESE MERLE,USA,24,5,2010,,"2010 IMG EVEREST
EXPEDITION II","Mr. Justin
Reese Merle"
284,NURBU JANGBU SHERPA,NEPAL,23,10,1989,WEST RIDGE,"""",""""
1892,NIMA TASHI SHERPA,NEPAL,18,5,2007,S.E.RIDGE,"""",""""
1868,MS. SAMANTHA LARSON,USA,17,5,2007,S.E.RIDGE,"""",""""
1744,TASHI SHERPA,NEPAL,25,5,2007,S.E.RIDGE,"""",""""
2828,"MR. ANGELO EDUARDO MANSO
FELGUEIRAS E. SOUSA",PORTUGAL,17,5,2010,,"""",""""
1303,LHAKPA RITA SHERPA,NEPAL,15,5,2004,S E RIDGE,"""",""""
4578,MR. NIELS PAUL WIECHER,NETHERLANDS,20,5,2016,,"""",""""
2340,MR. KANCHA NURU SHERPA,NEPAL,22,5,2009,NORMAL,"""",""""
2403,MR.KAJI SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
2379,MR.ANG SONA SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
1942,MR. DENIEL W. MALLORY,CANADA,26,5,2008,S.E.RIDGE,"""",""""
2064,MR. KAJI SHERPA,NEPAL,21,5,2008,NORMAL,"""",""""
3033,MR. KAME SHERPA,NEPAL,17,5,2010,,"""",""""
4908,NGIMA ONGCHHU SHERPA,NEPAL,22,5,2017,,"""",""""
1659,BENEDICT TIMOTHY CLOWES,UK,18,5,2006,"NORMAL
ROUTE","""",""""
